Fighter,Result,Opponent,Event,Date,Method,Rounds,Time
Marat Khasanov,loss,Andrey Odabashyan,Oct / 13 / 2017,Oct / 13 / 2017,Decision (Unanimous),3,5:00
Marat Khasanov,win,Sergei Dubrovin,Colosseum FC - Battle of Champions 1,Mar / 26 / 2017,Technical Submission (Triangle Choke),1,1:30
Jonas Billstein,loss,Dustin Stoltzfus,Jun / 29 / 2019,Jun / 29 / 2019,KO (Punches),2,1:39
Jonas Billstein,draw,Mattia Schiavolin,May / 19 / 2018,May / 19 / 2018,Majority Draw,3,5:00
Jonas Billstein,win,Grachik Bozinyan,ACB 62 - Stepanyan vs. Cruz,Jun / 17 / 2017,Submission (Smother Choke),2,4:11
Jonas Billstein,win,Tassilo Lahr,RFC - Respect Fighting Championship 13,Jul / 18 / 2015,Decision (Unanimous),3,5:00
Jonas Billstein,loss,Antoni Chmielewski,Dec / 27 / 2014,Dec / 27 / 2014,Submission (Armbar),1,2:23
Jonas Billstein,loss,Perry Filkins,Nov / 16 / 2012,Nov / 16 / 2012,Decision (Unanimous),3,5:00
Jonas Billstein,loss,Herbert Goodman,Nov / 19 / 2011,Nov / 19 / 2011,Disqualification (Soccer Kick to Downed Fighter),2,3:21
Jonas Billstein,win,Hans Stringer,TFS - Mix Fight Gala XI,Nov / 27 / 2010,Decision (Unanimous),2,5:00
Jonas Billstein,win,Benjamin Russ,GMC 1 - The Beginning,May / 29 / 2010,TKO (Punches),2,3:19
Jonas Billstein,win,Andre Walberer,OC - Cage Fight Night 6,Feb / 26 / 2010,TKO (Punches),1,2:38
Jonas Billstein,win,Vincent Urbanczak,OC 16 - Outsider Cup 16,Jan / 30 / 2010,TKO (Punches),1,0:29
Jonas Billstein,win,Niels Wienboeker,RFC - Respect Fighting Championship 2,Nov / 07 / 2009,TKO (Punches),1,1:04
Jonas Billstein,win,Mick Stanton,CW 96 - Cage Warriors 96,Sep / 01 / 2018,Submission (Rear-Naked Choke),1,3:23
Jonas Billstein,win,Ali Arish,Fightstar Promotions - Rage in the Cage 3,Mar / 21 / 2015,TKO (Corner Stoppage),1,5:00
Jonas Billstein,win,Nikolai Alexiev,Tempel Fight School - Mix Fight Gala 15,Apr / 26 / 2014,TKO (Punches),1,3:12
Jonas Billstein,win,Martin Zawada,GMC 4 - Next Level,Jul / 06 / 2013,TKO (Punches),3,4:31
Jonas Billstein,win,Mike Seal,BFC - Bellator Fighting Championships 70,May / 25 / 2012,Technical Submission (Rear-Naked Choke),1,2:55
Jonas Billstein,win,Mathias Schuck,GMC 2 - Continued,Oct / 09 / 2010,TKO (Corner Stoppage),5,1:07
Jonas Billstein,win,Franky Fanomez,OC 16 - Outsider Cup 16,Jan / 30 / 2010,TKO (Punches),1,2:58
Jonas Billstein,win,Julian Ambosse,OC 15 - Outsider Cup 15,Nov / 14 / 2009,Submission (Rear-Naked Choke),1,2:34
Aziz Dzhumaniyazov,win,Nurultan Kuyazov,WEF 4 - Kyrgyzstan vs. Dagestan,Feb / 25 / 2016,Decision (Unanimous),3,5:00
Aziz Dzhumaniyazov,win,Sergey Kalinin,Fight Nights - Fight Club 6,Apr / 09 / 2015,Decision (Unanimous),2,5:00
Aziz Dzhumaniyazov,loss,Kurban Omarov,Mar / 12 / 2015,Mar / 12 / 2015,TKO (Punches),1,4:47
Aziz Dzhumaniyazov,loss,Magomed Ankalaev,Nov / 29 / 2014,Nov / 29 / 2014,Submission (Rear-Naked Choke),1,1:18
Aziz Dzhumaniyazov,win,Denis Valin,"Russian MMA Union - Moscow Open Cup 2014, Day 1",Nov / 28 / 2014,TKO (Punches),2,2:45
Aziz Dzhumaniyazov,win,Taigib Dzhavatkhanov,Fight Nights - Fight Club 4,Mar / 26 / 2015,Submission (Rear-Naked Choke),1,2:38
Aziz Dzhumaniyazov,win,Magomed Sheikhmagomedov,"Russian MMA Union - Moscow Open Cup 2014, Day 1",Nov / 28 / 2014,Submission (Armbar),1,1:49
Aziz Dzhumaniyazov,loss,Magomed Mutaev,Sep / 30 / 2012,Sep / 30 / 2012,TKO (Knees to the Body and Punches),1,0:47
Imran Khabirov,win,Sergei Kudryavtsev,AT Promotion - MMA Tournament,Oct / 04 / 2014,Submission,1,2:31
Imran Khabirov,win,Oleg Duvalov,Fight Nights - Fight Club 2,Mar / 12 / 2015,Submission (Armbar),1,3:29
Imran Khabirov,win,Vitaliy Menshikov,Northwest League of Combat Sambo - Gennadiy Gauer Memorial,Oct / 03 / 2013,TKO (Punches),1,1:42
Madson Yves Lopes da Silva,win,Yago Roger,SPF - PFC/Pitbull Fight Championship 51,Apr / 06 / 2019,Decision (Unanimous),3,05:00
Madson Yves Lopes da Silva,win,Manoel Silva Netto,RC - Rec Combat 3,May / 30 / 2015,Submission (Armbar),1,2:04
Madson Yves Lopes da Silva,loss,William Silva de Oliveira,May / 17 / 2019,May / 17 / 2019,Decision(Unaminous),3,5:00
Madson Yves Lopes da Silva,win,Pedro Henrique  Do Nascimento Souza,PFC 50 Pitbull Fight Champions 50 - ,Dec / 22 / 2018,Submission (Leglock),1,0:20
Antonio Luiz Gomes Soares,loss,Joeres  Santos,Nov / 16 / 2019,Nov / 16 / 2019,TKO (Retirement),4,4:40
Antonio Luiz Gomes Soares,loss,Wildemar Matheus Souza dos Santos,Aug / 23 / 2019,Aug / 23 / 2019,Submission (Rear-Naked Choke),1,2:11
Antonio Luiz Gomes Soares,win,Wellckerssom da Silva Oliveira,ABCF - Association of Future Boxing Champions 18,Sep / 30 / 2018,Decision (Unanimous),3,05:00
Antonio Luiz Gomes Soares,loss,Antonio Arroyo,Mar / 10 / 2018,Mar / 10 / 2018,KO (Kick to the Body),1,1:54
Antonio Luiz Gomes Soares,win,Matheus Silva,SFC - Sombra Fight Champions 2,Apr / 14 / 2016,TKO,2,5:00
Antonio Luiz Gomes Soares,win,Sergio Andrade De Oliveira,SPF / PSF - Super Pitbull Fight 6,Dec / 08 / 2018,K.O (Punches),1,03:40
Antonio Luiz Gomes Soares,win,Joao Paulo Valle,SMF - Salvaterra Marajo Fight 8,Jul / 12 / 2018,Submission (Guillotine Choke),2,2:26
Antonio Luiz Gomes Soares,loss,Fabio Augusto de Assis Vasconcelos,Jan / 25 / 2018,Jan / 25 / 2018,TKO (Punches),1,4:58
Antonio Luiz Gomes Soares,win,Joao Paulo Silva,SPF - Super Pitbull Fight 2,May / 14 / 2016,Submission (Armbar),1,4:05
Antonio Luiz Gomes Soares,win,Bruno Marcelo de Oliveira,PF - Pororoca Fight,Apr / 08 / 2016,Submission (Armbar),2,4:40
Orlanison Neris de Oliveira,win,Mauricio Lira,SFC - Strike Fighting Championship 10,Dec / 07 / 2019,K.O (Punches),1,4:42
Orlanison Neris de Oliveira,win,Elielson Jose Da Veiga Pinto,EFC - Eder Fight  Combat 1,Sep / 14 / 2019,TKO (Punches),1,0:47
Orlanison Neris de Oliveira,loss,Wellckerssom da Silva Oliveira,Apr / 06 / 2019,Apr / 06 / 2019,Decision(Unaminous),3,5:00
Orlanison Neris de Oliveira,win,Rafael da Cruz Fiel,SFC 6.0 - Strike Fight Championship 6,Mar / 03 / 2018,TKO (Punches),2,N/A
Orlanison Neris de Oliveira,loss,Gilberto Pereira Sousa,Oct / 03 / 2015,Oct / 03 / 2015,Decision (Split),2,5:00
Orlanison Neris de Oliveira,win,Ismael Tocantins,GFC 8 - Goianesia Fight Champion 8,Jun / 06 / 2015,Submission (Triangle),3,0:00
Orlanison Neris de Oliveira,win,Jason Carlos,CFC 9 - Champions Fight Combat,Nov / 16 / 2014,TKO (Punches),1,4:23
Orlanison Neris de Oliveira,win,Edilson Soares,CFC 5 - Champions Fight Combat,Jul / 12 / 2014,Decision (Unanimous),3,5:00
Orlanison Neris de Oliveira,win,Marcelo Pontes,EFC - Eder Fight Combat 2,Dec / 21 / 2019,Decision (Unanimous),3,5:00
Orlanison Neris de Oliveira,win,Luiz Felipe,Extreme Kombat MMA - Extreme Kombat MMA 23,Sep / 21 / 2019,Submission (Triangle Choke),2,2:31
Orlanison Neris de Oliveira,win,Romulo Rodrigues,AFM - Animal Fight MMA-Tome Açu,May / 18 / 2019,Submission (Rear-Naked Choke),2,3:40
Orlanison Neris de Oliveira,win,Adriano Miranda da Silva,BFC - Boxe Fight Combat 5,Dec / 15 / 2018,Submission (Armbar),2,4:06
Orlanison Neris de Oliveira,loss,Thalyson Alves da Silva,Aug / 18 / 2018,Aug / 18 / 2018,Decision (Split),3,5:00
Orlanison Neris de Oliveira,win,Valdir Lopes da Silva,MFC - MFC Souzel,Jan / 20 / 2018,TKO (Punches),2,2:02
Orlanison Neris de Oliveira,win,Nivaldo Nascimento,RPC - Rony Pitbull Champions 2,Aug / 06 / 2016,Decision(Unanimous),3,5:00
Orlanison Neris de Oliveira,win,Alberto Dias,CSF - Colisao Spartan Fight,Oct / 03 / 2015,Submission (Kneebar),1,1:50
Orlanison Neris de Oliveira,win,Sergio Silva,MFC - Mixed Fight Championship,Aug / 08 / 2015,TKO (Punches),1,1:20
Orlanison Neris de Oliveira,loss,John da Cruz Oliveira,Apr / 05 / 2015,Apr / 05 / 2015,Decision (Unanimous),3,5:00
Orlanison Neris de Oliveira,loss,Carlos Alberto  Fontes da Silva,Sep / 20 / 2014,Sep / 20 / 2014,K.O (Punches),1,0:23
Orlanison Neris de Oliveira,win,Wellckerssom da Silva Oliveira,MFC - Tailandia 4,Mar / 09 / 2014,Submission (Armbar),3,3:48
Fabricio de Souza Santa Brigida,win,Fabio Teles Froz,TFC 3 - Tocantins Fight Combat 3,May / 10 / 2013,Submission (Triangle Choke),2,0:00
Fabricio de Souza Santa Brigida,win,Tiago Souza,Iron Man Championship - Champions,Jul / 21 / 2011,KO (Punch),1,N/A
Fabricio de Souza Santa Brigida,win,Caio Robson Silva,Sal Combat - Ver. 9.0,Jan / 22 / 2011,TKO (Doctor Stoppage),1,5:00
Fabricio de Souza Santa Brigida,win,Oberdan Vieira Tenorio,IMVT - Iron Man Vale Tudo 3,Apr / 10 / 2004,Submission (Arm-Triangle Choke),3,1:30
Fabricio de Souza Santa Brigida,win,Pedro Henrique Gomes dos Santos,NTC - NT Combat,Dec / 30 / 2013,Submission (Armbar),1,4:00
Fabricio de Souza Santa Brigida,win,Jose Santana Bastos da Siqueira,TVT - Tribus de Vale Tudo 16,Dec / 14 / 2013,Decision (Unanimous),3,5:00
Fabricio de Souza Santa Brigida,win,Marcos Lima da Costa,Fit Center - Super Fight,Sep / 29 / 2012,TKO (Punches),1,2:14
Fabricio de Souza Santa Brigida,win,Antonio Moreira,RC - Radical Combat 5,Feb / 25 / 2011,TKO (Punches),3,0:00
Flavio Pina de Sousa,win,Thiago Borges Costa,SFC - Strike Fighting Championship 11,Dec / 20 / 2019,TKO (Punches),2,2:13
Flavio Pina de Sousa,win,Edilson dos Santos Pires,SPC - PFC/Pitbull Fight Championship 54,Nov / 09 / 2019,TKO (Punches),1,4:55
Flavio Pina de Sousa,loss,Luca Poclit,Feb / 16 / 2019,Feb / 16 / 2019,TKO (Punches),1,4:43
Flavio Pina de Sousa,win,Wellckerssom da Silva Oliveira,CFC  - Capanema Fight Combat 22,May / 05 / 2018,Decision (Unanimous),5,5:00
Flavio Pina de Sousa,win,Junior Araujo de Lima,MCN - Mega Combat Norte 1,Apr / 16 / 2016,Decision (Unanimous),3,5:00
Flavio Pina de Sousa,win,Claudio Oliveira,ABCF - Association of Future Boxing Champions 14,Apr / 02 / 2016,Decision (Unanimous),3,5:00
Flavio Pina de Sousa,win,Caio Robson Silva,BF - Black Fight 1,Jan / 15 / 2016,TKO (Punches),2,4:12
Flavio Pina de Sousa,loss,Adriano Lucas Tavares de Oliveira,Jun / 06 / 2015,Jun / 06 / 2015,TKO (Punches),2,2:20
Flavio Pina de Sousa,win,Carlos Eduardo Viana Gomes,NFT Fight Team - Na Bruta Fight 2,Apr / 11 / 2015,Decision (Split),3,5:00
Flavio Pina de Sousa,win,Tassio Oliveira,POF - Personal Open Fight 3,Mar / 22 / 2014,KO (Head Kick),1,2:10
Flavio Pina de Sousa,win,Leonardo Silva,SPF - Super Pitbull Fight,Dec / 07 / 2012,Submission (Ambar),2,3:59
Flavio Pina de Sousa,win,Rodolfo  dos Santos,SPF - Super Pitbull Fight,Jun / 10 / 2011,TKO (Punches),2,4:24
Flavio Pina de Sousa,loss,Olli Santalahti,Feb / 15 / 2020,Feb / 15 / 2020,Submission (Kneebar),1,1:10
Flavio Pina de Sousa,loss,Konstantin Veselkin,Nov / 22 / 2019,Nov / 22 / 2019,Decision (Unanimous),3,5:00
Flavio Pina de Sousa,loss,Georgi Valentinov,Oct / 05 / 2019,Oct / 05 / 2019,Decision (Unanimous),3,5:00
Flavio Pina de Sousa,loss,Valeriu Mircea,Nov / 03 / 2018,Nov / 03 / 2018,Decision (Unanimous),3,5:00
Flavio Pina de Sousa,win,Rufat Asadov,AFC Global 1 - Atemi Fighting Championship 1,Mar / 30 / 2018,Decision (Split),3,5:00
Flavio Pina de Sousa,win,Wasley Gomes da Silva,Leoes Fight - Leoes Fight MMA 9,Mar / 05 / 2016,TKO (Punches),3,2:44
Flavio Pina de Sousa,win,Pedro Junior Rosa Pereira,SPF - Super Pitbull Fight 41,Dec / 26 / 2015,TKO (Punches),1,1:10
Flavio Pina de Sousa,win,Bruno Luan Lima da Costa,RC - Rec Combat 3,May / 30 / 2015,TKO (Punches),1,2:35
Flavio Pina de Sousa,win,Leonardo Tolosa,AVC - Avengers Vingadores Championships,Aug / 10 / 2013,KO (Kick and Punches),1,3:40
Flavio Pina de Sousa,win,Antonio Ailton Borges da Silva,AF - Advangers Fight,Jul / 12 / 2012,KO (Punche),1,2:21
Flavio Pina de Sousa,win,Normando Cabral de Andrade,SPF - Super Pitbull Fight,Apr / 16 / 2010,Submission (Ambar),2,4:16
Marcelino Carvalho,loss,Wellckerssom da Silva Oliveira,Dec / 22 / 2019,Dec / 22 / 2019,TKO (Punches),1,4:19
Marcelino Carvalho,loss,Messias Amorim,Sep / 14 / 2019,Sep / 14 / 2019,TKO (Punches),1,3:20
Marcelino Carvalho,loss,Adenilson Soares,Apr / 06 / 2019,Apr / 06 / 2019,Submission (Rear-Naked Choke),1,04:54
Marcelino Carvalho,win,Jhon Hermison Paula Sales,BC Fight - BC Fight 01,Nov / 30 / 2018,TKO (Punches),1,0:20
Marcelino Carvalho,win,Samuel Santos,CFC 15 - Champions Fight Combat,Oct / 26 / 2019,K.O (Punhes),1,0:10
Marcelino Carvalho,win,Jackson Silva,Rubao Fight Combat - RFC sem froteiras 4,Sep / 06 / 2019,K.O (Punches),1,4:00
Marcelino Carvalho,loss,Marcelo Pontes,Dec / 15 / 2018,Dec / 15 / 2018,TKO (Punches),1,0:47
Marcelino Carvalho,loss,Francisco Diniz Carvalho Jr.,Mar / 10 / 2018,Mar / 10 / 2018,Submission (Armbar),2,3:41
Marcelino Carvalho,win,Alailson Felicio,MFC - Tailandia 4,Mar / 09 / 2014,Submission ( Rear-Naked-Choke),3,1:30
Elias Monteiro,win,Fabricio do Outeiro,RF 2 - Radical Fight 2,Oct / 20 / 2012,TKO (Punches),2,1:00
Elias Monteiro,win,Jefferson Nascimento Camara Nascimento,Lenox FC - Lenox Fight Competition 4,Jun / 16 / 2012,Submission (Triangle Choke),3,1:59
Elias Monteiro,loss,Bruno    Santos,May / 05 / 2012,May / 05 / 2012,KO (Knees and Punches),1,2:20
Elias Monteiro,loss,Jean Sanderson da Costa,Jul / 31 / 2011,Jul / 31 / 2011,Decision (Unanimous),3,5:00
Elias Monteiro,win,Fabricio Ricardo,Zero 2 Fight - Vale Tudo,May / 05 / 2011,TKO (Punches),2,2:02
Elias Monteiro,loss,Francisco Wagner Mergulhao da Silva,Apr / 16 / 2010,Apr / 16 / 2010,Submission (Armbar),1,1:50
Elias Monteiro,win,Junior Macapa,AF - Amazon Fight 1,Dec / 10 / 2009,Decision (Unanimous),3,5:00
Elias Monteiro,loss,Junior Sumo,Oct / 02 / 2008,Oct / 02 / 2008,Submission (Kimura),1,0:00
Elias Monteiro,loss,Hugo Bernard Leite da Silva,Jun / 14 / 2007,Jun / 14 / 2007,KO (Punches),1,4:10
Elias Monteiro,loss,Nyckson Moreira Pimenta,May / 12 / 2018,May / 12 / 2018,TKO (Retirement),1,5:00
Elias Monteiro,loss,Bruno Diego Costa de Assis,Apr / 28 / 2017,Apr / 28 / 2017,TKO,2,3:15
Elias Monteiro,loss,Caio Felipe Bittencourt da Silva,Jul / 26 / 2012,Jul / 26 / 2012,KO (Punch),1,0:08
Elias Monteiro,win,Jefferson dos Santos,DFC - Dinamite Fight Championship,Jun / 01 / 2012,Submission,2,1:00
Elias Monteiro,loss,Jose Otavio dos Santos Lacerda,Aug / 14 / 2011,Aug / 14 / 2011,KO (Punches),1,1:55
Elias Monteiro,win,Joel Leao,MF - Midway Fight,Dec / 18 / 2009,Submission (Punches),1,2:41
Elias Monteiro,loss,Luis Santos,Jul / 07 / 2009,Jul / 07 / 2009,TKO (Punches),1,2:24
Elias Monteiro,win,Junior Macapa,SF - Super Fight Barcarena,Jan / 06 / 2008,TKO,2,0:00
Elias Monteiro,loss,Yuri Fraga,Apr / 12 / 2007,Apr / 12 / 2007,Submission (Guillotine Choke),1,0:00
Gian Siqueira,win,Eri Silveira,SBC 22 - Serbian Battle Championship 22,Jul / 05 / 2019,Submission (Rear Naked Choke),3,3:02
Gian Siqueira,loss,Alexander Butenko,Jan / 26 / 2019,Jan / 26 / 2019,Decision (Majority),3,5:00
Gian Siqueira,win,Rafael Atilio,Sao Jose Super Fight Qualifying - SJSF,Apr / 21 / 2018,Decision (Unanimous),3,5:00
Gian Siqueira,win,Mailton Azevedo Lima,AFC - Aspera Fighting Championship 45,Oct / 08 / 2016,Submission (Rear-Naked Choke),1,1:47
Gian Siqueira,win,Wellington Turman,XFCI - XFC International 12,Nov / 28 / 2015,Decision (Unanimous),3,5:00
Gian Siqueira,win,Luis Guilherme Schattschneider,Blufight MMA - Blufight 7,Sep / 20 / 2014,Submission (Rear-Naked Choke),1,2:06
Gian Siqueira,win,Caique Luko,Blufight MMA - Blufight 6,Apr / 27 / 2014,TKO (Punches),1,1:20
Gian Siqueira,win,Luciano Oliveira Ribeiro,KOC - K.O. Combate 1,Dec / 07 / 2013,TKO,2,2:34
Gian Siqueira,loss,Oton Jasse,May / 24 / 2013,May / 24 / 2013,Submission (Brabo Choke),1,1:52
Gian Siqueira,win,Maximiliano Videla,AF - Argento Fight,Jan / 28 / 2013,Submission (Rear-Naked Choke),1,3:05
Gian Siqueira,win,Guilherme Tadeu,TC - Tornado Combat 8,Nov / 17 / 2012,TKO (Punches),1,3:22
Gian Siqueira,win,Nebojsa Mrsic,SBC 21 - Serbian Battle Championship 21: Revenge!,May / 04 / 2019,Submission (Rear-Naked Choke),1,2:29
Gian Siqueira,win,Qi Wang,"CWM MMA - Chin Woo Men: 2017-2018 Season, Stage 11",Jul / 17 / 2018,Submission (Armbar),1,4:56
Gian Siqueira,win,Reginaldo Corvao,Aspera FC 58 - Aspera Fighting Championship 58,Nov / 04 / 2017,Submission (Armbar),1,4:58
Gian Siqueira,win,Alex Sandro Alves,NCF - Nitrix Champion Fight 22,Aug / 10 / 2014,Submission (Rear-Naked Choke),1,3:31
Gian Siqueira,win,Silas Robson de Oliveira,NCF - Nitrix Champion Fight 20,Apr / 12 / 2014,KO (Punches),2,4:30
Gian Siqueira,loss,Alexandre Cidade,Oct / 05 / 2013,Oct / 05 / 2013,Decision (Unanimous),3,5:00
Gian Siqueira,win,Gabriel Maionese,Blufight MMA - Blufight 4,Apr / 07 / 2013,Decision (Unanimous),5,5:00
Gian Siqueira,win,Rosermarcio Luis Schmitt,NCF - Nitrix Champion Fight 13,Jan / 05 / 2013,TKO (Punches),2,2:39
Gian Siqueira,win,Antonio Gelson Magalhaes Bezerra,Blufight MMA - Blufight 3,Oct / 27 / 2012,TKO (Punches),1,1:10
Willian Cabocao,loss,Rafael      Oliveira,Oct / 18 / 2018,Oct / 18 / 2018,KO (Punches),1,00:24
Willian Cabocao,loss,John Teixeira,Dec / 04 / 2008,Dec / 04 / 2008,Decision (Unanimous),3,5:00
Willian Cabocao,loss,Luciano Cardoso Nogueira,Mar / 13 / 2003,Mar / 13 / 2003,KO (Head Kick),3,3:00
Willian Cabocao,loss,Luis Santos,Dec / 27 / 2005,Dec / 27 / 2005,Submission (Rear-Naked Choke),2,4:32
Thiago Barbosa,loss,Guilherme Doin,Jul / 31 / 2016,Jul / 31 / 2016,Decision (Split),3,5:00
Thiago Barbosa,loss,Jefferson Sousa Correa,Dec / 13 / 2013,Dec / 13 / 2013,Technical Submission (Guillotine Choke),1,3:42
Thiago Barbosa,win,Luis Rogerio de Agostinho,BRFC - Desafio dos Imortais,Dec / 16 / 2011,Submission,1,0:41
Thiago Barbosa,loss,Carlos Silva,Feb / 13 / 2016,Feb / 13 / 2016,Decision (Unanimous),3,5:00
Thiago Barbosa,win,Felipe Sousa Mendes,WOCS 35 - Watch Out Combat Show 35,Jun / 14 / 2014,Decision (Unanimous),3,5:00
Thiago Barbosa,loss,Jose Ricardo Galheta,Nov / 26 / 2011,Nov / 26 / 2011,Decision (Unanimous),3,5:00
Cleison Cardoso,loss,Deivi Daniel Oliveira de Almeida,Jun / 06 / 2015,Jun / 06 / 2015,TKO (Punches),2,3:44
Cleison Cardoso,win,Ronaldo dos Reis Maia,Amazon Fight 12 - Capanema,Feb / 17 / 2012,Submission (Heel Hook),2,2:30
Cleison Cardoso,loss,Guilherme Matos Rodrigues,May / 13 / 2010,May / 13 / 2010,Decision (Unanimous),3,5:00
Cleison Cardoso,loss,Rafael Addario Bastos,Nov / 20 / 2009,Nov / 20 / 2009,TKO (Knees and Punches),2,1:38
Cleison Cardoso,loss,Welkson Jean,Jul / 07 / 2009,Jul / 07 / 2009,Decision (Unanimous),3,5:00
Cleison Cardoso,loss,Diogenes Caco,Apr / 21 / 2006,Apr / 21 / 2006,Submission ,2,4:10
Cleison Cardoso,loss,Eliezer Ramos,Dec / 23 / 2005,Dec / 23 / 2005,Decision (Split),3,5:00
Cleison Cardoso,loss,Jadison  Costa,Apr / 27 / 2013,Apr / 27 / 2013,Submission (Armbar),1,2:55
Cleison Cardoso,loss,Junior Ramalho,Dec / 01 / 2011,Dec / 01 / 2011,KO (Punch),1,0:07
Cleison Cardoso,win,Marcio de Oliveira,WCC - W-Combat 3,Jul / 03 / 2010,Submission (Achilles Lock),1,4:22
Cleison Cardoso,win,Joao Ferreira Jr.,SC 5 - Super Combat 5,Oct / 16 / 2009,Submission (Rear-Naked Choke),2,2:01
Cleison Cardoso,loss,Alexandre Alcantara,Nov / 13 / 2008,Nov / 13 / 2008,Submission (Armbar),1,0:50
Cleison Cardoso,loss,Welkson Jean,Dec / 27 / 2005,Dec / 27 / 2005,Decision (Split),3,5:00
Alexandre Goncalves,draw,Andre Ceara,Extremoz Combat 1 - Goncalves vs. Ceara,Jul / 16 / 2016,<br/>,3,5:00
Alexandre Goncalves,loss,Gilmar Dutra Lima,Jan / 05 / 2013,Jan / 05 / 2013,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,Rodrigo Goncalves,CEF - Coliseu Extreme Fight 3,Apr / 27 / 2012,KO (Head Kick),1,1:27
Alexandre Goncalves,loss,Ismael de Jesus,Oct / 15 / 2011,Oct / 15 / 2011,KO (Punch),1,0:26
Alexandre Goncalves,win,Wellington Geraldo de Oliveira,IMC - Iron Man Championship 11,Aug / 18 / 2011,Submission (Triangle Choke),1,4:42
Alexandre Goncalves,win,Anderson Sato,Champions Night - Qualyfighter,May / 07 / 2011,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,Renato Castro,PVT 3 - Portugal Vale Tudo 3,Jan / 21 / 2007,TKO,2,1:15
Alexandre Goncalves,win,Francisco Silva,Bad Boy - Vale Tudo Open,Dec / 08 / 2005,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,Everaldo Papa-Leguas,CH - Copa Hunter,Jun / 24 / 2005,TKO (Doctor Stoppage),0,0:00
Alexandre Goncalves,win,Francisco Silva,CF - Champions Fight,Oct / 25 / 2003,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,Jose Mauricio da Rocha Jr.,1° Round Combat - 1° Round Combat 2,May / 06 / 2016,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,Diego Moreira,Guerreiros Champions - Professional,May / 05 / 2012,TKO (Punches),3,0:00
Alexandre Goncalves,win,Jonas Boeno do Rosario,CEF - Coliseu Extreme Fight 1,Sep / 09 / 2011,TKO (Doctor Stoppage),2,3:46
Alexandre Goncalves,loss,Andre Luis Leal Lobato,Mar / 31 / 2011,Mar / 31 / 2011,Submission (Heel Hook),1,0:34
Alexandre Goncalves,loss,Rafael Addario Bastos,Apr / 06 / 2006,Apr / 06 / 2006,Decision (Unanimous),3,5:00
Alexandre Goncalves,win,James Silveira,SFC - Slap Fight Combat,May / 16 / 2005,TKO (Punches),2,1:05
Alexandre Goncalves,win,Rodrigo Jacome,CN 11 - Champions Night 11,Oct / 07 / 2004,KO,0,0:00
Tiago dos Santos e Silva,loss,Oberdan Vieira Tenorio,May / 06 / 2017,May / 06 / 2017,KO (Flying Knee and Punches),1,3:36
Tiago dos Santos e Silva,win,Clay Collard,UFC 191 - Johnson vs. Dodson 2,Sep / 05 / 2015,Decision (Split),3,5:00
Tiago dos Santos e Silva,win,Akbarh Arreola,UFC on Fox 12 - Lawler vs. Brown,Jul / 26 / 2014,Decision (Unanimous),3,5:00
Tiago dos Santos e Silva,win,Geraldo Coelho de Lima Neto,JF - Jungle Fight 59,Oct / 12 / 2013,Submission (Arm-Triangle Choke),3,4:11
Tiago dos Santos e Silva,win,Dimitry Zebroski,JF - Jungle Fight 50,Apr / 06 / 2013,Decision (Split),3,5:00
Tiago dos Santos e Silva,win,Sebastian Latorre,JF - Jungle Fight 40,Jun / 15 / 2012,Submission (Arm-Triangle Choke),2,2:10
Tiago dos Santos e Silva,win,Rafael Addario Bastos,IMVT - Iron Man Vale Tudo 23,Apr / 07 / 2012,TKO (Punches),3,2:25
Tiago dos Santos e Silva,win,Alexandre Alcantara,DDG - Desafio de Gigantes 11,Sep / 11 / 2011,Submission (Rear-Naked Choke),1,4:25
Tiago dos Santos e Silva,win,Michel Addario Bastos,WCC - W-Combat 14,Jul / 16 / 2011,Decision (Split),3,5:00
Tiago dos Santos e Silva,win,Danielson Gomes dos Santos,MMA - Evolution 4,Jul / 02 / 2011,TKO (Punches),2,4:42
Tiago dos Santos e Silva,win,Oberdan Vieira Tenorio,MMA - Macapa Martial Arts,Apr / 09 / 2011,Decision (Unanimous),3,5:00
Tiago dos Santos e Silva,loss,Fabricio de Assis Costa da Silva,Dec / 11 / 2010,Dec / 11 / 2010,Submission (Rear-Naked Choke),3,2:45
Tiago dos Santos e Silva,win,Caio Felipe Bittencourt da Silva,UFF - Ultimate Finus Fighting 2,Nov / 06 / 2010,TKO (Punches),2,3:34
Tiago dos Santos e Silva,loss,Alex Marcos Correia Ferreira,May / 29 / 2009,May / 29 / 2009,Submission (Armbar),2,1:40
Tiago dos Santos e Silva,loss,Rasul Shovhalov,Aug / 19 / 2017,Aug / 19 / 2017,TKO (Punches),1,2:17
Tiago dos Santos e Silva,loss,Shane Burgos,Dec / 09 / 2016,Dec / 09 / 2016,Decision (Unanimous),3,5:00
Tiago dos Santos e Silva,loss,Mike de la Torre,Feb / 22 / 2015,Feb / 22 / 2015,KO (Punches),1,2:59
Tiago dos Santos e Silva,win,Leandro Vasconcelos,JF - Jungle Fight 56,Aug / 24 / 2013,Submission (Rear-Naked Choke),1,4:01
Tiago dos Santos e Silva,win,Silvio Jose da Silva,JF - Jungle Fight 39,May / 12 / 2012,Submission (Anaconda Choke),3,2:37
